glyph_name,ps_name,USV,DesignerOrder,bcp47tags,Feat
gaf-ar.medi,uni06AF.medi,,1156,,
gaf-ar.init,uni06AF.init,,1157,,
kafswash-ar,uni06AA,06AA,1166,,
kafswash-ar.fina,uni06AA.fina,,1167,,
kafswash-ar.medi,uni06AA.medi,,1168,,
kafswash-ar.init,uni06AA.init,,1169,,
ng-ar,uni06AD,06AD,1198,,
ng-ar.fina,uni06AD.fina,,1199,,
ng-ar.medi,uni06AD.medi,,1200,,
ng-ar.init,uni06AD.init,,1201,,
lam-ar,uni0644,0644,1210,,
lam-ar.fina,uni0644.fina,,1211,,
lam-ar.medi,uni0644.medi,,1212,,
lam-ar.init,uni0644.init,,1213,,
lam-ar.medi.flat,uni0644.medi.flat,,1214,,
lam-ar.init.high,uni0644.init.high,,1215,,
lam_alef-ar,uni06440627,0644_0627,1260,,
lam_alef-ar.fina,uni06440627.fina,,1261,,
lam_alefMadda-ar,uni06440622,0644_0622,1262,,
lam_alefMadda-ar.fina,uni06440622.fina,,1263,,
lam_alefHamzaabove-ar,uni06440623,0644_0623,1266,,
lam_alefHamzaabove-ar.fina,uni06440623.fina,,1267,,
lam_alefHamzabelow-ar,uni06440625,0644_0625,1270,,
lam_alefHamzabelow-ar.fina,uni06440625.fina,,1271,,
meem-ar,uni0645,0645,1490,,
meem-ar.fina,uni0645.fina,,1491,,
meem-ar.medi,uni0645.medi,,1492,,
meem-ar.init,uni0645.init,,1493,,
meem-ar.medi.flat,uni0645.medi.flat,,1496,,
meem-ar.init.flat,uni0645.init.flat,,1497,,
noon-ar,uni0646,0646,1516,,
noon-ar.fina,uni0646.fina,,1517,,
noon-ar.medi,uni0646.medi,,1518,,
noon-ar.init,uni0646.init,,1519,,
